"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ACAD","ACADIA Pharmaceuticals Inc.","15.2","$1.9B","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","0.78","$20M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","23.35","$1.3B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","35.34","$1.62B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","29.35","$607.45M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","5.1","$435M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.35","$119.94M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","18.9","$141.7M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACET","Aceto Corporation","2.49","$76.6M","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","13.08","$585.87M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",
"ACHV","Achieve Life Sciences, Inc. ","1.3","$16.57M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","3.68","$509.09M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","24.03","$2.79B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","17.73","$547.88M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","10.61","$163.42M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","29.75","$208.95M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","22.9","$1.07B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"SQZZ","Active Alts Contrarian ETF","25.4708","$636820.94","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sqzz",
"ATVI","Activision Blizzard, Inc","64.82","$49.17B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ACXM","Acxiom Corporation","25.53","$2B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","28.44","$762.4M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","3.65","$121.87M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","12.52","$7.04B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","53","$616.44M","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.25","$12.78M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","8.5","$181.85M","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADMA","ADMA Biologics Inc","4.93","$223.41M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","217.32","$107.02B","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","0.72","$51.65M","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"ADTN","ADTRAN, Inc.","14.7","$704.19M","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","6.85","$537.85M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","11.11","$225.61M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","60.2","$2.39B","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","9.71","$9.41B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","1.69","$88.41M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","0.2692","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxsw",
"ADVM","Adverum Biotechnologies, Inc.","5.9","$367.18M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"ACT","AdvisorShares Vice ETF","24.86","$12.43M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","23.56","$767.9M","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.94","$133.47M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","2.32","$50.93M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.68","$33.97M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","54.2","$2.14B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","54.49","$1.3B","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","1.65","$27.13M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.31","$21.88M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","1.56","$92.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","2.025","$126.34M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AGEN","Agenus Inc.","3.57","$366.13M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","2.83","$96.92M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","12.24","$285.35M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","84.38","$4.86B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","10.61","$227.16M","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","18.94","$7.41B","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.534","$8.85B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCN","AGNC Investment Corp.","25.38","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"AGFS","AgroFresh Solutions, Inc.","7.12","$357.74M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.49","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","5.67","$83.54M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","30.82","$1.79B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","26.85","$54.85M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","20.77","$1.23B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","8.08","$77.9M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.6888","$43.27M","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"AKAM","Akamai Technologies, Inc.","70.78","$12.07B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.89","$28.84M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","26.83","$2.29B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","9.41","$454.94M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","0.4924","$40.36M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","13.53","$1.69B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","5.05","$112.72M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","40.59","$1.92B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.55","$81.41M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"ALBO","Albireo Pharma, Inc.","31.23","$371.55M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","6","$85.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"ALDR","Alder BioPharmaceuticals, Inc.","13.2","$895.55M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","7.2","$141.59M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","106.04","$23.58B","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","31.95","$263.57M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","245.63","$19.69B","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","1.12","$91.74M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALJJ","ALJ Regional Holdings, Inc.","2.16","$81.91M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","44.07","$6.83B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"ABTX","Allegiance Bancshares, Inc.","41.55","$551.98M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","143.3","$2.3B","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALNA","Allena Pharmaceuticals, Inc.","14.73","$304.85M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"AHGP","Alliance Holdings GP, L.P.","23","$1.38B","2006","Energy","Coal Mining","https://www.nasdaq.com/symbol/ahgp",
"AMMA","Alliance MMA, Inc.","0.3381","$5.03M","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/amma",
"ARLP","Alliance Resource Partners, L.P.","16","$2.09B","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","2.58","$10.35M","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","39.87","$375.85M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","2.24","$11.21M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","5.11","$171.63M","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.22","$2.17B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"ALNY","Alnylam Pharmaceuticals, Inc.","94.33","$9.45B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","15.17","$363.29M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1021.18","$709.66B","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1022.99","$710.52B","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","25.14","$27.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","4.07","$103.67M","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","8.05","$111.46M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","29.46","$10.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/swin",
"AMR","Alta Mesa Resources, Inc.","7.62","$2.92B","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","1.58","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amrww",
"AABA","Altaba Inc.","68.27","$55.29B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","28.96","$1.83B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"ALT","Altimmune, Inc.","0.7","$15.59M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","25.15","$437.6M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","44.25","$1.3B","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"ALZH","Alzheon, Inc.","n/a","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alzh",
"AMAG","AMAG Pharmaceuticals, Inc.","20","$681.78M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation plc","2.68","$786.81M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","13.96","$98.16M","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","1460.17","$708.14B","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","17.58","$796.94M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8.72","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","46.05","$1.55B","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","53.93","$3.27B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","66.63","$9.56B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","1.38","$5.9M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","65.28","$2.22B","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","345.55","$6.78B","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","1.26","$23.68M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.31","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","6.2","$374.32M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","18.48","$61.04B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","45.25","$21.15B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
"ACSF","American Capital Senior Floating, Ltd.","11.05","$110.5M","2014","n/a","n/a","https://www.nasdaq.com/symbol/acsf",
"AETI","American Electric Technologies, Inc.","0.7","$6.13M","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"AMNB","American National Bankshares, Inc.","39.8","$345.27M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","121.78","$3.28B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",
"AOBC","American Outdoor Brands Corporation","11.31","$612.21M","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","40.8","$669.09M","2007","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","37.53","$716.22M","2006","Capital Goods","Railroads","https://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","15.28","$89.9M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMSWA","American Software, Inc.","12.91","$392.55M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","6.08","$127.3M","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","84.8","$1.48B","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","53.45","$369.8M","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","52.65","$2.02B","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","56.45","$1.09B","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.1","$73.94M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.75","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","28.8","$268.15M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","174.83","$116.83B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","13.57","$2.54B","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","8.82","$2.11B","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","19.28","$898.5M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amph",
"IBUY","Amplify Online Retail ETF","44.55","$280.67M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibuy",
"ASYS","Amtech Systems, Inc.","7.11","$105.91M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","12.67","$2.49B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","6.69","$332.46M","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
"ADI","Analog Devices, Inc.","87.77","$32.46B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","83.35","$1.04B","1972","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/alog",
"ANAB","AnaptysBio, Inc.","85.35","$2.03B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anab",
"AVXL","Anavex Life Sciences Corp.","2.38","$106.09M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/avxl",
"ANCB","Anchor Bancorp","24.72","$61.41M","2011","Finance","Banks","https://www.nasdaq.com/symbol/ancb",
"ANGI","ANGI Homeservices Inc.","13.41","$6.41B","n/a","Consumer Services","Advertising","https://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","19.77","$727.63M","2004","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","58.41","$685.65M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","44.41","$654.83M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","159.86","$13.44B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","2.28","$357.48M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","0.3223","$7.54M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anth",
"APLS","Apellis Pharmaceuticals, Inc.","22.35","$1.13B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/apls",
"APOG","Apogee Enterprises, Inc.","42.26","$1.2B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/apog",
"APEN","Apollo Endosurgery, Inc.","5.76","$99.85M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/apen",
"AINV","Apollo Investment Corporation","5.34","$1.16B","2004","n/a","n/a","https://www.nasdaq.com/symbol/ainv",
"AMEH","Apollo Medical Holdings, Inc.","14.95","$487.77M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/ameh",
"APPF","AppFolio, Inc.","47.6","$1.62B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appf",
"APPN","Appian Corporation","25.97","$1.58B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appn",
"AAPL","Apple Inc.","163.65","$830.36B","1980","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","0.7667","$5.27M","n/a","Consumer Services","Home Furnishings","https://www.nasdaq.com/symbol/arci",
